config_label,wavelength_nm,fpr_length_um,array_pitch_um,output_pitch_um,output_offset_um,dominant_output,dominant_fraction,second_to_first,quality,source_type,coarse_score,out_1,out_2,out_3,out_4
coarse_094,1550.8,50.0,1.2,1.6,0.65,2,0.2921658410643757,0.8715617303926873,poor,coarse_local,0.11340276434992991,7.876514053785797,9.03724174561564,7.639559544159002,6.378574957826225
coarse_094,1552.4,50.0,1.2,1.6,0.65,2,0.40695254684494053,0.6489442645517052,general,coarse_local,0.11340276434992991,2.6818498938481317,5.321661290498996,3.4534615723561495,1.6198867733752693
coarse_095,1547.6,50.0,1.2,1.65,0.45,2,0.25081120489433456,0.9985195895365215,poor,coarse_local,0.10909869643245973,8.042109068580356,8.08158429565007,8.069620233697306,8.028469711373774
coarse_095,1549.2,50.0,1.2,1.65,0.45,1,0.25843445237340645,0.9660159021959535,poor,coarse_local,0.10909869643245973,11.72874392947487,11.33015314865698,11.015776855146338,11.309150946727579
coarse_095,1550.8,50.0,1.2,1.65,0.45,2,0.29453156730479807,0.864065869659065,poor,coarse_local,0.10909869643245973,7.836800215376846,9.466417236311818,8.179608041849333,6.65776073610519
coarse_095,1552.4,50.0,1.2,1.65,0.45,2,0.4064941326965755,0.732115292654163,general,coarse_local,0.10909869643245973,2.146680458039359,5.21813679530108,3.8202777470013065,1.651835168084866
coarse_096,1547.6,50.0,1.2,1.65,0.5,2,0.25083676229706553,0.998257734409366,poor,coarse_local,0.11209745792611345,8.04321479331449,8.082344738987551,8.068263147857172,8.027709223587989
coarse_096,1549.2,50.0,1.2,1.65,0.5,1,0.2584477679211354,0.9651098683618451,poor,coarse_local,0.11209745792611345,11.72743367527435,11.311365391008255,11.019355906527224,11.318261970566297
coarse_096,1550.8,50.0,1.2,1.65,0.5,2,0.29468986889409404,0.8576494705721215,poor,coarse_local,0.11209745792611345,7.908096392387997,9.467679979030752,8.119950721561999,6.631878835790618
coarse_096,1552.4,50.0,1.2,1.65,0.5,2,0.40950109481731645,0.7091405785069197,general,coarse_local,0.11209745792611345,2.2314981245840606,5.258689461751844,3.729150087094945,1.622360501021678
coarse_097,1547.6,50.0,1.2,1.65,0.55,2,0.25086061714894087,0.9980003160020262,poor,coarse_local,0.11470870430927299,8.044347712086093,8.083043510688391,8.066879977925142,8.026982189143268
coarse_097,1549.2,50.0,1.2,1.65,0.55,1,0.2584466355705396,0.9660312498538645,poor,coarse_local,0.11470870430927299,11.725449913908664,11.292732089096043,11.023607006086868,11.327151035432074
coarse_097,1550.8,50.0,1.2,1.65,0.55,2,0.2947556098164855,0.8515654792438159,poor,coarse_local,0.11470870430927299,7.979821121838805,9.465468816470484,8.060466488965082,6.607182228460368
coarse_097,1552.4,50.0,1.2,1.65,0.55,2,0.4120503058057502,0.6873403909224679,general,coarse_local,0.11470870430927299,2.319790187247898,5.293128567541223,3.638181058816667,1.5947311273291844
coarse_098,1547.6,50.0,1.2,1.65,0.6,2,0.2508826994178176,0.9977481133275162,poor,coarse_local,0.11668651036503719,8.045506722011803,8.083678107580843,8.065474580585732,8.026287376265293
coarse_098,1549.2,50.0,1.2,1.65,0.6,1,0.25843057620765153,0.9669906900785157,poor,coarse_local,0.11668651036503719,11.722770178553644,11.274310717053424,11.02849956985911,11.335809624591432
coarse_098,1550.8,50.0,1.2,1.65,0.6,2,0.29473056003353804,0.8511572661160434,poor,coarse_local,0.11668651036503719,8.051800494091703,9.459827008037259,8.001252945535924,6.583645297615154
coarse_098,1552.4,50.0,1.2,1.65,0.6,2,0.41413914845014793,0.6666695459161504,general,coarse_local,0.11668651036503719,2.4113946786163245,5.3213752498207,3.5475988214474072,1.5688759296758759
coarse_099,1547.6,50.0,1.2,1.65,0.65,2,0.25090294546475994,0.9975018830777567,poor,coarse_local,0.11781236144078465,8.046690581492694,8.084246201928044,8.064050809687426,8.025623396345125
coarse_099,1549.2,50.0,1.2,1.65,0.65,1,0.25839915290769927,0.9679894313296383,poor,coarse_local,0.11781236144078465,11.719374274806936,11.256157843640073,11.034001735982903,11.344230439809559
coarse_099,1550.8,50.0,1.2,1.65,0.65,2,0.2946167800992101,0.8595937579912744,poor,coarse_local,0.11781236144078465,8.12385528894298,9.450807679114678,7.942403642462058,6.561240931678613
coarse_099,1552.4,50.0,1.2,1.65,0.65,2,0.41576731927606164,0.6470851874219831,general,coarse_local,0.11781236144078465,2.5061256058816217,5.343377702626857,3.4576205621707454,1.5447224743649264
coarse_100,1547.6,50.0,1.25,1.45,0.45,2,0.25025119425464804,0.9999794042032979,poor,coarse_local,0.15623611904192014,7.8780316631358795,7.893816643410152,7.893654063967361,7.878069946578702
coarse_100,1549.2,50.0,1.25,1.45,0.45,2,0.260050415466596,0.9733852082085857,poor,coarse_local,0.15623611904192014,7.828691749296883,8.04274780762775,7.664971505594233,7.391237305960115
